structure_id,property_flood_zone,property_height,BFE,area,building_type,house_value,mortgage,income,race,education,ownership,flood_elevation_list,SVI,geometry,500yrDepth,SLOSH_depths,x,y,index_right,GEOID
481086554,AE,9.749216825971605,0.4,1831.0,residential,160687.374,Housing Units with a Mortgage,"Income Below $45,000",Minority Population,16.0,Renter-Occupied Housing Units,"[1, 4, 10, 15, 19]",0.8372,POINT (3312675.55205549 13680742.463769358),0.5,"[1, 4, 10, 15, 19]",3312675.55205549,13680742.463769358,844,48167724400
480938192,AE,10.950539875516892,0.0,1056.0,residential,93771.2996,Housing Units without a Mortgage,"Households with Income $125,000 - $149,999",Minority Population,1.0,Owner-Occupied Housing Units,"[0, 2, 8, 15, 21]",0.5571,POINT (3266755.2144541517 13750763.534356918),0.0,"[0, 2, 8, 15, 21]",3266755.2144541517,13750763.534356918,3069,48167721800
481170215,AE,8.986462732963561,0.0,1040.0,residential,92902.4179,Housing Units with a Mortgage,"Households with Income $125,000 - $149,999",Non-Minority Population,21.0,Renter-Occupied Housing Units,"[0, 4, 9, 15, 19]",0.3878,POINT (3314221.768290841 13683616.45350217),0.5,"[0, 4, 9, 15, 19]",3314221.768290841,13683616.45350217,843,48167724300
480935585,AE,11.916678007745745,0.0,14002.0,residential,743042.453,Housing Units with a Mortgage,"Households with Income $125,000 - $149,999",Non-Minority Population,18.0,Owner-Occupied Housing Units,"[0, 3, 8, 16, 21]",0.5571,POINT (3268653.9498584247 13748977.109370774),0.0,"[0, 3, 8, 16, 21]",3268653.9498584247,13748977.109370774,3069,48167721800
480951900,AE,9.845506490039826,0.0,1396.0,residential,182404.781,Housing Units without a Mortgage,"Income Below $45,000",Non-Minority Population,21.0,Owner-Occupied Housing Units,"[1, 4, 9, 15, 19]",0.0539,POINT (3265419.038344875 13645743.711843662),0.0,"[1, 4, 9, 15, 19]",3265419.038344875,13645743.711843662,2387,48167726101
481113207,VE,3.674020643858909,0.0,3382.06,residential,542748.215,Housing Units with a Mortgage,"Households with Income $200,000 or more",Non-Minority Population,18.0,Renter-Occupied Housing Units,"[2, 6, 11, 17, 21]",0.7281,POINT (3284264.792884036 13672937.806944408),0.0,"[2, 6, 11, 17, 21]",3284264.792884036,13672937.806944408,1354,48167725800
480906911,AE,4.996719326257706,1.0,2194.0,residential,174837.149,Housing Units without a Mortgage,"Households with Income $200,000 or more",Minority Population,18.0,Owner-Occupied Housing Units,"[5, 8, 14, 20, 21]",0.7281,POINT (3294201.8676722515 13675238.061982952),1.2,"[5, 8, 14, 20, 21]",3294201.8676722515,13675238.061982952,1354,48167725800
480918647,AE,8.710728664999008,0.0,3720.0,residential,270888.733,Housing Units without a Mortgage,"Households with Income $75,000 - $99,999",Minority Population,16.0,Owner-Occupied Housing Units,"[1, 4, 10, 16, 20]",0.3878,POINT (3312675.638888505 13682447.432901708),0.5,"[1, 4, 10, 16, 20]",3312675.638888505,13682447.432901708,843,48167724300
480925726,AE,8.982132400627137,0.0,2776.0,residential,277317.962,Housing Units without a Mortgage,"Income Below $45,000",Minority Population,20.0,Renter-Occupied Housing Units,"[0, 2, 9, 14, 18]",0.1906,POINT (3299688.400432991 13670202.162966438),0.0,"[0, 2, 9, 14, 18]",3299688.400432991,13670202.162966438,1352,48167725500
481085399,VE,9.809024065876008,0.0,1974.0,residential,243645.486,Housing Units with a Mortgage,"Income Below $45,000",Non-Minority Population,17.0,Owner-Occupied Housing Units,"[2, 6, 11, 17, 21]",0.2514,POINT (3367031.9221757785 13743604.009803664),0.0,"[2, 6, 11, 17, 21]",3367031.9221757785,13743604.009803664,3067,48167723900
